date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:04	10884/10884	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2011:09:18%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/blog-post-1.html	lmpixels.com/demo/breezycv/darkfw/1/blog-post-1.html	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:04	44193/44193	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-aca1%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_1.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_1.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:05	76262/76262	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-129e6%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_2.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_2.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:06	96117/96117	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-17775%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_3.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_3.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:07	60364/60364	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-ebcc%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_4.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_4.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:09	84322/84322	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258c02818-14962%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/jquery-2.1.3.min.js	lmpixels.com/demo/breezycv/darkfw/1/js/jquery-2.1.3.min.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:09	13062/13062	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f60a804-55ea%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/animating.js	lmpixels.com/demo/breezycv/darkfw/1/js/animating.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:10	5441/5441	---MCZ	200	added ('OK')	application/javascript	etag:W/%225890d244-1541%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/imagesloaded.pkgd.min.js	lmpixels.com/demo/breezycv/darkfw/1/js/imagesloaded.pkgd.min.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:11	24719/24719	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e46d310-608f%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/perfect-scrollbar.min.js	lmpixels.com/demo/breezycv/darkfw/1/js/perfect-scrollbar.min.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:13	14462/14462	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b884a-387e%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/jquery.shuffle.min.js	lmpixels.com/demo/breezycv/darkfw/1/js/jquery.shuffle.min.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:13	23601/23601	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b5000-5c31%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/masonry.pkgd.min.js	lmpixels.com/demo/breezycv/darkfw/1/js/masonry.pkgd.min.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:14	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258b6c1e0-a70e%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/owl.carousel.min.js	lmpixels.com/demo/breezycv/darkfw/1/js/owl.carousel.min.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:16	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256c83aa6-4ef8%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/jquery.magnific-popup.min.js	lmpixels.com/demo/breezycv/darkfw/1/js/jquery.magnific-popup.min.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:17	7350/7350	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256efffa2-26e3%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/jquery.googlemap.js	lmpixels.com/demo/breezycv/darkfw/1/js/jquery.googlemap.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:18	9046/9046	---MCZ	200	added ('OK')	application/javascript	etag:W/%225899cb40-2d44%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/validator.js	lmpixels.com/demo/breezycv/darkfw/1/js/validator.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:19	4710/4710	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f60a7fc-2a95%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/main.js	lmpixels.com/demo/breezycv/darkfw/1/js/main.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:25:19	214/214	---MC-	302	error ('Found')	text/html	date:Fri,%2029%20Jan%202021%2004:25:19%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/css/owl.video.play.png	lmpixels.com/demo/breezycv/darkfw/1/css/owl.video.play.png	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/owl.carousel.css)
12:25:21	7028/7028	---MCZ	200	added ('OK')	text/css	etag:W/%22556070f6-2098%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/style.css	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/style.css	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/main.css)
